,userId,movieId,rating
0,0,0,4.0
1,0,2,4.0
2,0,5,4.0
3,0,43,5.0
4,0,46,5.0
5,0,62,3.0
6,0,89,5.0
7,0,97,4.0
8,0,124,5.0
9,0,130,5.0
10,0,136,5.0
11,0,184,5.0
12,0,190,3.0
13,0,197,5.0
14,0,201,4.0
15,0,224,5.0
16,0,257,3.0
17,0,275,3.0
18,0,291,5.0
19,0,307,4.0
20,0,314,4.0
21,0,320,5.0
22,0,325,4.0
23,0,367,3.0
24,0,384,4.0
25,0,398,5.0
26,0,418,4.0
27,0,436,3.0
28,0,461,5.0
29,0,476,4.0
30,0,484,4.0
31,0,485,5.0
32,0,508,4.0
33,0,509,4.0
34,0,510,4.0
35,0,513,5.0
36,0,520,5.0
37,0,546,3.0
38,0,551,5.0
39,0,559,3.0
40,0,592,4.0
41,0,594,3.0
42,0,615,3.0
43,0,632,4.0
44,0,701,5.0
45,0,705,5.0
46,0,720,5.0
47,0,723,4.0
48,0,734,5.0
49,0,767,3.0
50,0,781,5.0
51,0,782,5.0
52,0,783,5.0
53,0,786,5.0
54,0,787,3.0
55,0,788,5.0
56,0,789,5.0
57,0,797,4.0
58,0,801,5.0
59,0,810,4.0
60,0,815,5.0
61,0,819,5.0
62,0,827,5.0
63,0,828,4.0
64,0,830,5.0
65,0,835,5.0
66,0,855,4.0
67,0,862,5.0
68,0,897,5.0
69,0,898,5.0
70,0,899,5.0
71,0,906,5.0
72,0,908,4.0
73,0,910,5.0
74,0,913,5.0
75,0,914,4.0
76,0,919,2.0
77,0,920,5.0
78,0,922,5.0
79,0,924,5.0
80,0,926,5.0
81,0,938,5.0
82,0,954,5.0
83,0,956,3.0
84,0,963,4.0
85,0,968,5.0
86,0,973,5.0
87,0,976,5.0
88,0,980,5.0
89,0,989,5.0
90,0,995,5.0
91,0,1035,4.0
92,0,1059,3.0
93,0,1075,3.0
94,0,1083,3.0
95,0,1109,3.0
96,0,1125,4.0
97,0,1145,4.0
98,0,1153,5.0
99,0,1170,4.0
100,0,1180,5.0
101,0,1182,3.0
102,0,1189,5.0
103,0,1217,5.0
104,0,1219,4.0
105,0,1223,5.0
106,0,1234,3.0
107,0,1260,3.0
108,0,1297,5.0
109,0,1318,4.0
110,0,1325,4.0
111,0,1331,5.0
112,0,1332,4.0
113,0,1400,4.0
114,0,1406,5.0
115,0,1430,5.0
116,0,1443,4.0
117,0,1474,4.0
118,0,1479,5.0
119,0,1486,4.0
120,0,1492,5.0
121,0,1502,4.0
122,0,1504,5.0
123,0,1515,4.0
124,0,1516,5.0
125,0,1521,4.0
126,0,1525,5.0
127,0,1542,5.0
128,0,1552,5.0
129,0,1555,3.0
130,0,1556,5.0
131,0,1558,4.0
132,0,1561,4.0
133,0,1566,4.0
134,0,1575,5.0
135,0,1576,5.0
136,0,1594,5.0
137,0,1596,5.0
138,0,1598,5.0
139,0,1600,4.0
140,0,1616,5.0
141,0,1627,4.0
142,0,1643,4.0
